	loss	arch	us	ds	us_epochs	us_lr	us_bs	us_wd	ds_epochs	ds_lr	ds_bs	ds_wd	zero	1	5	10	20	full	100	200
0	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-06	32	0.1	2.34	2.128	1.915	2.181	6.649	21.011		
1	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-06	64	0.1	2.34	2.234	2.021	1.809	3.936	12.713		
2	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-06	128	0.1	2.34	2.234	2.021	1.968	2.287	6.33		
3	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	1E-05	32	0.1	2.34	2.128	5.585	15.532	33.617	50.372		
4	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	1E-05	64	0.1	2.34	2.234	2.021	8.564	24.149	43.032		
5	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	1E-05	128	0.1	2.34	2.234	2.021	1.968	15.851	33.245		
6	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-05	32	0.1	2.34	2.128	22.819	37.394	52.394	62.5		
7	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-05	64	0.1	2.34	2.234	6.649	31.543	47.394	59.787		
8	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	3E-05	128	0.1	2.34	2.234	2.021	9.415	41.915	56.702		
9	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	0.0001	32	0.1	2.34	2.553	36.064	46.17	56.968	65.213		
10	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	0.0001	64	0.1	2.34	2.234	25.798	43.617	56.223	63.883		
11	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	64	0.0001	128	0.1	2.34	2.234	7.819	34.362	53.723	63.138		
12	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-06	32	0.1	2.34	2.128	2.713	7.181	20.904	38.723		
13	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-06	64	0.1	2.34	2.234	2.021	4.309	12.819	29.84		
14	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-06	128	0.1	2.34	2.234	2.021	2.34	6.489	20.053		
15	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	1E-05	32	0.1	2.34	2.128	15.532	30.319	47.713	59.734		
16	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	1E-05	64	0.1	2.34	2.234	9.202	23.404	41.596	56.064		
17	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	1E-05	128	0.1	2.34	2.234	2.074	14.787	33.723	50.266		
18	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-05	32	0.1	2.34	2.979	32.766	44.255	55.957	64.681		
19	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-05	64	0.1	2.34	2.234	28.138	41.33	54.521	63.67		
20	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	3E-05	128	0.1	2.34	2.234	9.894	37.074	51.596	62.181		
21	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	0.0001	32	0.1	2.34	9.202	38.404	46.862	57.021	64.84		
22	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	0.0001	64	0.1	2.34	3.83	36.383	47.181	57.34	65.106		
23	CLIP	RN50	CC3m	DTD	16	0.001	512	0.1	128	0.0001	128	0.1	2.34	3.83	29.468	44.521	56.755	64.84		
24	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-06	32	0.1	13.77	18.43	21.07	23.1	26.34	61.16		
25	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-06	64	0.1	13.74	18.71	19.99	21.79	24.67	57.89		
26	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-06	128	0.1	13.74	18.75	18.66	20.83	23.01	53.82		
27	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	1E-05	32	0.1	13.77	18.44	24.72	29.09	37.71	71.92		
28	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	1E-05	64	0.1	13.74	18.72	23.27	26.73	33.06	69.37		
29	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	1E-05	128	0.1	13.74	18.76	19.98	25.17	28.77	66.48		
30	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-05	32	0.1	13.77	21.22	31.52	39.54	47.6	78.88		
31	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-05	64	0.1	13.74	18.72	27.1	36.72	44.6	76.84		
32	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	3E-05	128	0.1	13.74	18.81	23.37	33.15	41.23	74.76		
33	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	0.0001	32	0.1	13.77	22.64	36.74	45.38	52.38	82.32		
34	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	0.0001	64	0.1	13.74	21.35	34.84	43.99	52.09	81.58		
35	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	64	0.0001	128	0.1	13.74	19.06	28.35	41.97	50.01	80.34		
36	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-06	32	0.1	13.77	19.39	23.54	26.25	31.49	67.95		
37	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-06	64	0.1	13.74	18.71	21.86	24.04	27.95	65.34		
38	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-06	128	0.1	13.74	18.75	20.53	22.83	26.12	61.72		
39	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	32	0.1	13.77	22.73	28.11	36.78	44.16	76.73		
40	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	64	0.1	13.74	19.63	25.65	32.69	40.99	74.15		
41	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	1E-05	128	0.1	13.74	18.76	24.13	29.14	37.08	72.23		
42	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	32	0.1	13.77	23.83	36.41	43.77	51.77	81.49		
43	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	64	0.1	13.74	21.96	33.91	42.31	49.88	80.2		
44	CLIP	RN50	CC3m	CIFAR100	16	0.001	512	0.1	128	3E-05	128	0.1	13.74	19.91	30.48	39.9	47.69	78.8		
